IBGE;UF;MUNICIPIO;CNES;NOME FANTASIA;RAZAO SOCIAL;CNPJ PROPRIO;CNPJ MANTENEDORA;TIPO GESTAO;LOGRADOURO;NUMERO;BAIRRO;CEP;LATITUDE;LONGITUDE
421720;SC;SAO MIGUEL DO OESTE;7072449;UNIDADE SAUDE DA FAMILIA BAIRRO PROGRESSO;PREFEITUA MUNICIPAL DE SAO MIGUEL DO OESTE;;82821174000180;M;AVENIDA WILLY BARTH;1010;BAIRRO PROGRESSO;89900000;-26.73144;-53.51056
421950;SC;XANXERE;7084838;CONSULTORIO DE PSICOLOGIA TAMARA CARINA OLKOWSKI;CONSULTORIO DE PSICOLOGIA TAMARA CARINA OLKOWSKI;;;M;CORONEL PASSOS MAIA;360;CENTRO;89820000;-26.877;-52.404
420460;SC;CRICIUMA;7081502;URC RM;UNIDADE RADIOLOGICA CRICIUMA DE RESSONANCIA MAGNETICA LTDA;13824794000150;;M;RUA JOAO CECHINEL;533;CENTRO;88811500;-28.67800;-49.37000
420480;SC;CURITIBANOS;5799201;LITOCENTER;LITOCENTER SERVICOS MEDICOS LTDA EPP;09317471000100;;M;RUA ALTINO GONCALVES DE FARIAS;1832;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5322308;DILOR GIANI JUNIOR;DILOR GIANI JUNIOR;;;M;RUA ALTINO GONCALVES DE FARIAS;1832;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5256062;DR MARCELO RICARDO DE OLIVEIRA;MARCELO RICARDO DE OLIVEIRA;;;M;RUA CEL VIDAL RAMOS;619;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6666574;CRAVI;CASA RECUPERACAO AGUA DA VIDA;02011065000249;;E;RUA OSVALDO ARANHA;135;SAO LUIZ;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;6507530;11 GERSA GERENCIA REGIONAL DE SAUDE;11 SDR SECRETARIA DE DESENVOLVIMENTO REGIONAL;;82951245000169;E;RUA DR LAURO MULLER;15;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5433118;APAE ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS;83453183000128;;M;RUA JURACY DE MELLO SCHMIDT;274;NOSSA SENHORA APAREC;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;3266508;CLINICA EQUILIBRIO VITAL;CLINICA EQUILIBRIO VITAL LTDA;05587457000168;;M;RUA LUIZ DACOL;180;CENTRO;89520000;-27.283;-50.584
420480;SC;CURITIBANOS;5322316;JULIANA RODRIGUES MARTINS GIANI;JULIANA RODRIGUES MARTINS GIANI;;;M;RUA ALTINO GONCALVES DE FARIAS;1832;CENTRO;89520000;-27.283;-50.584
